media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
19.222,14.053,15.969,27.519,20.362,20.631,23.875,171.274,escuro
33.209,17.956,26.239,52.688,18.541,19.859,23.041,172.087,escuro
36.551,19.085,28.82,58.367,17.907,19.911,24.053,172.087,escuro
35.222,18.244,27.598,56.63,16.67,18.981,22.813,172.087,escuro
33.649,17.363,26.255,54.353,19.414,20.32,22.786,172.087,escuro
28.948,16.519,23.055,45.211,14.187,15.582,18.477,173.473,escuro
29.055,16.901,23.252,45.072,15.337,16.475,19.477,173.473,escuro
26.404,14.738,20.866,41.693,12.76,13.962,17.122,173.473,escuro
27.815,16.445,22.252,43.004,14.998,15.619,17.865,173.473,escuro
38.033,19.78,29.734,61.252,16.272,18.9,23.259,172.699,escuro
36.18,18.289,28.369,58.302,15.463,19.421,24.745,172.699,escuro
39.82,20.166,31.255,64.099,16.49,19.596,24.028,172.699,escuro
33.307,17.226,25.664,54.414,14.887,17.421,22.131,172.699,escuro
52.096,23.712,41.373,83.961,16.48,21.62,27.638,172.078,medio
49.185,23.032,39.061,79.004,15.792,21.389,28.105,172.078,medio
49.916,23.786,39.551,80.209,16.3,20.887,26.618,172.078,medio
48.269,22.471,38.129,77.984,15.449,19.984,25.691,172.078,medio
49.258,23.719,39.411,78.297,18.366,23.343,28.709,173.105,medio
44.527,21.402,35.025,71.969,15.936,21.021,26.773,173.105,medio
42.341,19.668,33.134,69.039,14.443,19.814,25.798,173.105,medio
46.488,21.324,36.708,75.274,15.851,21.102,27.324,173.105,medio
58.586,24.858,47.234,93.722,16.217,20.865,24.666,172.086,medio
57.728,24.386,46.545,92.377,16.651,21.598,25.211,172.086,medio
56.843,23.931,45.562,91.503,15.529,20.402,24.016,172.086,medio
57.346,26.411,46.145,91.106,20.788,25.59,28.682,172.086,medio
51.807,22.714,40.486,85.096,16.112,21.781,26.84,171.448,medio
56.38,25.539,44.86,90.71,17.676,24.177,28.727,171.448,medio
54.475,24.92,43.241,87.76,17.106,22.783,27.042,171.448,medio
67.805,29.073,55.241,107.157,19.183,24.867,27.839,171.546,claro
70.849,30.568,58.261,110.849,21.586,26.059,27.534,171.546,claro
69.049,28.888,56.599,108.726,18.59,24.345,27.121,171.546,claro
69.283,30.0,56.712,108.881,19.153,24.992,27.84,171.546,claro
67.576,28.001,55.855,105.614,17.513,24.126,28.058,173.083,claro
66.55,27.307,54.989,104.131,16.81,24.653,29.871,173.083,claro
68.886,28.62,57.011,107.483,17.784,25.532,29.666,173.083,claro
68.695,29.215,56.995,106.66,17.523,24.406,28.168,173.083,claro
68.359,28.166,56.502,106.908,17.318,24.584,28.732,171.747,claro
68.031,28.393,56.436,105.854,17.895,24.75,28.59,171.747,claro
61.766,25.145,50.87,97.078,18.232,23.649,26.76,171.747,claro
62.651,25.766,51.35,98.847,18.969,24.118,27.32,171.725,claro
93.74,41.946,80.496,139.387,22.548,31.152,33.539,170.41,claro
85.751,36.236,72.925,129.738,20.681,30.114,33.817,170.41,claro
75.928,31.905,63.507,117.031,18.642,27.594,32.898,170.41,claro
85.438,36.746,72.887,128.56,20.702,29.68,33.474,170.41,claro
